document_id,document_kind,place_id,category,name,city,latitude,longitude,search_text,context_text,source_ids
osm-w303559713,place,osm-w303559713,culture,Беседка Случайные Встречи,Ессентуки,44.045816,42.863661,Беседка Случайные Встречи — арт-объект в городе Ессентуки.,Беседка Случайные Встречи — арт-объект в городе Ессентуки.,osm
osm-n1535024651,place,osm-n1535024651,culture,Вечный огонь,Ессентуки,44.031333,42.870869,Вечный огонь — мемориал в городе Ессентуки.,Вечный огонь — мемориал в городе Ессентуки.,osm
osm-w180537628,place,osm-w180537628,culture,Вечный огонь,Ессентуки,44.056032,42.865671,Вечный огонь — мемориал в городе Ессентуки.,Вечный огонь — мемориал в городе Ессентуки.,osm
osm-n2866338812,place,osm-n2866338812,culture,"Видовая площадка ""Ореанда""",Ессентуки,44.046363,42.868260,"Видовая площадка ""Ореанда"" — достопримечательность в городе Ессентуки. Часы работы по данным карты: 24/7.","Видовая площадка ""Ореанда"" — достопримечательность в городе Ессентуки. Часы работы по данным карты: 24/7.",osm
osm-n3374875948,place,osm-n3374875948,culture,Виктория,Ессентуки,44.059444,42.861856,Виктория — арт-объект в городе Ессентуки.,Виктория — арт-объект в городе Ессентуки.,osm
osm-n13442424301,place,osm-n13442424301,culture,"Восстановленное историческое здание санатория ""Москва""",Ессентуки,44.048834,42.869347,"Восстановленное историческое здание санатория ""Москва"" — достопримечательность в городе Ессентуки.","Восстановленное историческое здание санатория ""Москва"" — достопримечательность в городе Ессентуки.",osm
osm-n9362464818,place,osm-n9362464818,culture,Гост,Ессентуки,44.057613,42.853759,Гост — музей в городе Ессентуки.,Гост — музей в городе Ессентуки.,osm
osm-n2866338810,place,osm-n2866338810,culture,"Грот ""Дамские слёзы""",Ессентуки,44.046461,42.868355,"Грот ""Дамские слёзы"" — достопримечательность в городе Ессентуки.","Грот ""Дамские слёзы"" — достопримечательность в городе Ессентуки.",osm
osm-n2866417725,place,osm-n2866417725,culture,Грот с орлом,Ессентуки,44.046653,42.868980,Грот с орлом — достопримечательность в городе Ессентуки.,Грот с орлом — достопримечательность в городе Ессентуки.,osm
osm-n8867367617,place,osm-n8867367617,culture,Грот с чудищем,Ессентуки,44.046609,42.868946,Грот с чудищем — достопримечательность в городе Ессентуки.,Грот с чудищем — достопримечательность в городе Ессентуки.,osm
osm-w186086848,place,osm-w186086848,culture,Грязелечебница имени Семашко,Ессентуки,44.049552,42.866993,"Грязелечебница имени Семашко — достопримечательность в городе Ессентуки. Адрес: улица Семашко 10/1. Алексеевская грязелечебница была построена в 1913-1915 гг. по проекту архитектора Е. Ф. Шреттера в стиле античного неоклассицизма. Её облик напоминает древнеримские термы. Грязелечебницу украшают скульптуры и барельефы, выполненные скульпторами Леопольдом-Августом Дитрихом и Василием Козловым по эскизам Шреттера, создавая атмосферу древней Греции. Объект культурного наследия федерального значения. Памятник градостроительства и архитектуры. Время создания: 1915 г.","Грязелечебница имени Семашко — достопримечательность в городе Ессентуки. Адрес: улица Семашко 10/1. Алексеевская грязелечебница была построена в 1913-1915 гг. по проекту архитектора Е. Ф. Шреттера в стиле античного неоклассицизма. Её облик напоминает древнеримские термы. Грязелечебницу украшают скульптуры и барельефы, выполненные скульпторами Леопольдом-Августом Дитрихом и Василием Козловым по эскизам Шреттера, создавая атмосферу древней Греции. На въезде посетителей встречают две пары каменных львов, прижимающих лапой змей, символизирующих болезнь. Перед парадным входом высятся две скульптуры. Первая - древнегреческого бога врачевания, сына Аполлона, Асклепия с посохом и чашей в руках, над которой нависает змея, капля яда которой, попавшая в воду, превратила её в лекарство. Другая – Гигиеи. Используемая для лечения сульфидная иловая грязь добывается на озере Тамбукан в 25 км от Ессентуков. Состав тамбуканской грязи: сине-зеленые водоросли, липиды, каротиноиды, каротины, хлорофиллы, жирорастворимые витамины, минеральные вещества, гуминовая кислота, лецитин. Хранящаяся в подземных амбарах грязелечебницы грязь закачивается на технический этаж, на нижнем ярусе которого производится её подготовка, а на верхнем – подогрев перед подачей наверх в кабинки для нанесения на тело пациентов. Использованную грязь сбрасывают обратно в амбары для регенерации в течение 4-5 месяцев, а после двух таких циклов её возвращают на озеро. Восстановление грязи занимает около 50 лет. По грязелечебнице проводятся 40-минутные экскурсии (150 руб), на которые можно заранее записаться по телефону. Часы работы: Пн-пт 9-00 – 13-30, сб 9-00 – 12-30, вс выходной.. Цена: Полное обертывание – 700 р., «брюки», «рубашка» 600 р., «трусы», «чулки» 550 р., «перчатки», носки» 500 р.. Объект культурного наследия федерального значения. Памятник градостроительства и архитектуры. Время создания: 1915 г. Адрес по реестру: Ставропольский край, г. Ессентуки, ул. Семашко, 10. Учётный номер: 26-56462. Основание охраны: Постановление Совета Министров РСФСР № 624 от 1974-12-04. Предмет охраны: Предметом охраны объекта культурного наследия федерального значения«Грязелечебница Н.А. Семашко», 1915 г., расположенного по адресу:Ставропольский край, г. Ессентуки, ул. Семашко, д. 4 (фактический адрес:Ставропольский край, г. Ессентуки, ул. Семашко, д. 10) (далее – памятник),являются следующие его составляющие:1 2 31Месторасположение Объекта:- в центральной части города-курорта Ессентуки, в зоне исторической застройки поул. Семашко.Графический материал см. «схема 1».2Объемно-пространственные параметры Объекта:- сложное в плане, симметричное, разноуровневое двухэтажное здание с подвалом(грязехранилищем).Графический материал см. «схема 2».3Объемно-планировочные параметры Объекта:- наружные и внутренние стены, световые оси, колонны и опоры: местоположение иих геометрические формы;- планировочное расположение и геометрические формы наружных и внутреннихлестниц и лестничных площадок;- планировочное расположение и геометрические формы балконов;- конструкции перекрытий;- планировочная организация общественных помещений и внутренних дворов;- планировочная организация крыши – комбинированная (многоскатная с плоскимиучастками), конструктивная организация крыши в скатной части - деревяннаястропильная система;- характер кровельного покрытия в части скатной крыши - керамическая черепица,колористическое решение - красно-коричневый и терракотовый оттенки.Графический материал см. «схема 3-6».41 2 34Стилистика, материалстен, характер наружнойотделки, колористическоерешение Объекта:- стилистическое решениефасадов в архитектурномстиле «эклектика –с элементамидревнеримскойархитектуры»;- материал наружных стен –блоки природного камня;- материал цоколя –пиленные блоки природногокамня;- характер наружнойотделки – лицевая кладкаблоков природногонеокрашенного известнякас расшивкой швов;- колористическоерешение фасадов –естественные светло-серые, светло охристо-зелёные и жёлтые цветаприродного камня.Фото 1916 г.Фото 1920 г.Фото 1930 г.51 2 35Западный фасад:- композиционноерешение (см. п. 5.1);- местоположение, формаи детали архитектурныхэлементов (см. п. 5.2 –5.4).5.1Западный фасад:- симметричноекомпозиционное решениефасада. По вертикалефасад членится по центрупортиком и ризалитами слевой и правой сторон, погоризонтали фасадчленится карнизами ипоясками.5.2Архитектурные элементыи детали:- портик: из восьмиионических, гладкихколонн с энтазисом ипрофилированной базой;61 2 3- антаблемент с гладкимметопом и раскреповкойлежащие на архитраве;- фриз – гладкий,опираются на мутулы;- потолоккессонированный спродольными ипоперечными ригелямиоформленныеширинками;- северная и южная частифасада членитсяподоконнымпрофилированнымкарнизом и прерывистымпояском, оформленынишами с клинчатымиполуциркульнымиперемычками;АнтаблементФризКесонированный потолок71 2 3- над дверьми главноговхода портика помещенбольшой аллегорическийгорельеф, посвященныйозеру Тамбукан - лежащийна пяти морских конькахмифический хозяинТамбукана с рыбьимхвостом попирает правойногой сосуд сизливающейся целебнойгрязью. Справа к немунесут пустые кувшины.Слева к нему тянутсябольные, страждущиеисцеления – сидящаяженщина с ребенком,супружеская чета истарец;Профилированный карнизПоясокНиши с клинчатой полуциркульной перемычкойГорельеф81 2 3- ризалит-1 и ризалит-2 погоризонтали членятсякарнизами, оформленынишами и контрфорсами(2 штуки), южная исеверная стороныризалитов оформленыпрямоугольным рустом,пояском, карнизом,нишами, маскаронами взавершие контрфорсов;Венчаюший карниз с дентикуламиПрофилированный карнизПрофилированный карнизПрофилилованный поясокПрямоугольные ниши (западная часть ризалита №1)91 2 3Ниши (южная часть ризалита №1)Прямоугольный руст (южная часть ризалита №1)Контрфорсы с маскаронами (южная часть ризалита №1)101 2 3- арки с клинчатой,полуциркульнойперемычкой (междупортиком и ризалитом-1 иризалитом-2);- аркбутаны (12 штук);- парапет;- вазы (8 штук надкаждым горельефом напарапете оформленныелистьями аканта);- профилированныйвенчающий карниз;111 2 3- водостоки (надполуциркульными окнами,каменные, с гаргульями вформе львиных голов);- горельефы (10 штук, вплоскости междуполуциркульными окнамистен главного (западного)фасада лечебныхкорпусов, указывающие налечебное назначениездания. Горельефы трехтипов, имеющие условныеназвания: «Раненый воин-победитель», «Больнаядевушка, снимающаясандалии»,«Разоблачающаясябольная женщина»);- подоконный карниз (подполуциркульнымиокнами);- карниз(профилированный,ступенчатый);121 2 3- линейный колотый руст(в левой и правой частяхзападного фасада науровне первого этажа).5.3- оконные проемы первогоэтажа со стрельчатымиперемычками, декорированыгладким ступенчатымналичником;- оконные проемы второгоэтажа (в части 1-го и 2-гокорпусов) сполуциркульнымиперемычками, декорированыпрофилированным,ступенчатым архивольтом;- оконные проемы второгосвета (в части 1-го и 2-гокорпусов) сполуциркульнымиклинчатыми перемычками;- оконные проемы второгоэтажа (в части 1-го и 2-гокорпусов), прямоугольнойформы, декорированныеоконной решеткой сдугообразныморнаментом;- оконные проемы второгоэтажа (в части ризалита-1 иризалита-2) сполуциркульнымиклинчатыми перемычками.Материал заполнения131 2 3оконных проемов - металл,схемы расстекловок;- оконные проемы второгоэтажа (в части ризалита-1и ризалита-2)прямоугольной формы.Материал заполненияоконных проемов - металл,схемы расстекловок;- люнеты второго этажа (вчасти ризалита-1 и ризалита-2) с полуциркульнымиклинчатыми перемычками.Материал заполненияоконных проемов - металл,схемы расстекловок;- оконные проемы второгоэтажа (в части портика)прямоугольной формы склинчатыми перемычками.Материал заполненияоконных проемов - дерево,схемы расстекловок.141 2 35.5Архитектурные элементы идетали входов:- главные входы (в частипортика, 3 штуки) – высокие,прямоугольной формы;- исторический характерматериала заполнениядверного проема(деревянный каркас,обшитый металлическимилистами-чугуна), схемарасстекловки и рисунокфиленок;- второй вход (в правой частиюжного фасада ризалита-1) -невысокий, прямоугольнойформы с клинчатой,полуциркульнойперемычкой;- характер материалазаполнения дверного проема(дерево), схема расстекловкии рисунок филенок;151 2 3- третий вход (в левой частисеверного фасада ризалита-2)- невысокий, прямоугольнойформы с клинчатой,полуциркульнойперемычкой;- характер материалазаполнения дверного проема(дерево), схема расстекловкии рисунок филенок.6Северный фасад:- композиционноерешение (см. п. 6.1);- местоположение, формаи детали архитектурныхэлементов (см. п. 6.2 –6.4).161 2 36.1Северный фасад:- асимметричноекомпозиционное решениефасада. По вертикалефасад членится по центруполуциркульнымризалитом и ризалитами слевой и правой сторон, погоризонтали фасадчленится карнизами ипоясками. (см. п.6.2).6.2Архитектурные элементыи детали:- ризалит-1 оформленпрямоугольным, колотымрустом и нишами поцентру, в части фризасеверной стороныризалита-1 (корпус № 4)по центру имеет чистоепрямоугольное полефланкированноеналичником иукрашенное двумягорельефами на темуобщего грязелечения:«Нагревание целебнойгрязи» (в лабораторииодин человек мешает вкотле, другой на одномколене держит пластыгрязи) и «Наложениецелебной грязи» (женщинанакладывает грязь на ногусидящего в кресле старца),а также двумягорельефами сизображением змеи, наторцах ризалита устроеныполуколонны ионическогоордера с ложчатымдекором. По горизонталиризалит членитсякарнизом и пояском, повертикали колоннами сзападной стороныризалита-1;Венчающий профилированный карнизФриз с горельефами, полем и полуколоннами171 2 3- сандрик (над стрельчатойнишей);- стрельчатая ниша (вчасти северной стороныризалита-1);- водосток (в частивосточной стороныризалита-1, каменный, сгаргульей в формельвиной головы);Прямоугольный, колотый, руст181 2 3- поясок (гладкий,прерывистый);- колонны (2 штуки, вчасти западной стороныризалита-1, тосканскогоордера, гладкие, с мощнойбазой) поддерживающиеригеля;- полуциркульная ниша (вчасти западной стороныризалита-1);191 2 3- ризалит-2 оформленпрямоугольным, колотымрустом и нишами поцентру, в части фризасеверная сторонаризалита-2 (корпус № 2)по центру имеет чистоепрямоугольное полефланкированноеналичником и украшенноедвумя горельефами натему общего грязелечения:«Подогрев разводнойгрязи» (в подогреваемыйкотел с грязью женщинаналивает воду, а мужчинапомешивает смесьлопаткой в котле) и«Обливание целебнойсмесью» (ребенок сидит вванне, мужчина поливаетего голову смесью изкувшина, а женщинадержит наготовеполотенце), а также двумягорельефами сизображением змеи, наторцах ризалита устроеныполуколонны ионическогоордера с ложчатымдекором. По горизонталиризалит членятсякарнизом и пояском, повертикали колоннами вчасти восточной стороныризалита- 2;Венчающий профилированный карнизФриз с горельефами, полем и полуколоннамиПрямоугольный, колотый, руст201 2 3- сандрик (над стрельчатойнишей);- стрельчатая ниша (вчасти северной стороныризалита-2);- водосток (в частизападной стороныризалита-2, каменный сгаргульей в формельвиной головы);- поясок (гладкий,прерывистый);211 2 3- колонны (2 штуки, вчасти восточной стороныризалита-2, тосканскогоордера, гладкие,оштукатуренные с мощнойбазой) поддерживающиеригеля;- полуциркульная ниша (вчасти восточной стороныризалита-2);- ризалит-3полуциркульной формы,на уровне второго этажаоформлен круглымиколоннами коринфскогоордера из штучногонеоштукатуренногоприродного камня,членящими фасад повертикали, в части фризаустроены арочныепроемы, опирающиеся наколонны и образующиеаркатуру (зала отдыха), погоризонтали членитсякарнизом;221 2 3- аркбутаны (5 штук, частикорпуса № 4);- профилированныйвенчающий карниз;Профилированный, венчающий карнизФриз с полуциркульными проемами, образующимиаркатуру231 2 3- парапет (в главной идворовой частях фасадакорпусов № 2 и № 4);- вазы (5 штук, надкаждым горельефом напарапете оформленныелистьями аканта (в частисеверного фасада корпуса№ 4);- горельефы (5 штук вплоскости междуполуциркульными окнамистен (северного) фасадакорпуса № 4,указывающие на лечебноеназначение здания.Горельефы трех типов,имеющие условныеназвания: «Раненый воин спомогающей емуженщиной», «Больнаядевушка, снимающаясандалии»,«Разоблачающаясябольная женщина»);- водостоки (4 штуки надполуциркульными нижнимиокнами корпусов, каменные,в форме львиных голов);- подоконные карнизы (вглавной и дворовой частифасадов корпусов № 2 и№ 4);241 2 3- карниз(профилированный,ступенчатый в частиглавных фасадов корпусов№ 2 и № 4);- линейный, колотый руст(на уровне первого этажа,в плоскости междустрельчатыми оконнымипроемами главныхфасадов корпусов № 2 и №4);- вазы (5 штук в частивосточного дворовогофасада, корпуса № 2);- вазы (2 штуки в частизападного дворовогофасада, корпуса № 4,оформленные листьямиаканта);- аркатура (в частизападной и восточнойсторон корпусов № 2 и №4, образованнаяполуциркульнымисдвоенными оконнымипроемами, оформленнымиколонной);251 2 3- колонна (6 штук,ионического ордера скапителью в видесдвоенных голов барана);- сдвоенные пилястры (вчасти западной стороныкорпуса № 4);- аркбутаны (6 штук, вчасти восточной стороныкорпуса № 2);- пилястры (на торцах вчасти второго светавосточной и западнойсторон корпусов № 2 и №4).261 2 36.3Архитектурные элементы идетали окон:- оконные проемы первогоэтажа с стрельчатымиперемычками, декорированыгладким ступенчатымналичником (в частиглавного фасада корпусов №2 и № 4). Материалзаполнения оконныхпроемов - металл, схемырасстекловок.- оконные проемы первогоэтажа прямоугольной формыс полуциркульными,клинчатыми перемычками (вчасти дворовых фасадовкорпусов № 2 и № 4).Материал заполненияоконных проемов - металл,схемы расстекловок;- оконные проемы первогоэтажа прямоугольной формы(в части главного западнойстороны ризалита-1 ивосточного фасадаризалита-2). Материалзаполнения оконныхпроемов - металл, схемырасстекловок; Ризалит-1Ризалит-2271 2 3- оконные проемы первогоэтажа прямоугольной формыс замковыми камнями (вчасти северной стороныризалита-3) Материалзаполнения оконныхпроемов - дерево, схемырасстекловок;- оконные проемы второгоэтажа (в части корпусов № 2и № 4) с полуциркульнымиперемычками,декорированныепрофилированным,ступенчатым архивольтом.Материал заполненияоконных проемов - дерево,схемы расстекловок;- оконные проемы второгосвета (в части корпусов № 2и № 4) с полуциркульными,клинчатыми перемычкамифланкированныеархивольтом. Материалзаполнения оконныхпроемов - дерево, схемырасстекловок;- оконные проемы второгоэтажа (в части корпуса № 4),прямоугольной формы,декорированные оконнойрешеткой с дугообразныморнаментом;Ризалит-3281 2 3- оконные проемы второгоэтажа, прямоугольнойформы с полуциркульными,клинчатыми перемычками иподоконниками (в частикорпусов № 2 и № 4).Материал заполненияоконных проемов - дерево,схемы расстекловок;- оконные проемы второгоэтажа прямоугольной формыс полуциркульными,клинчатыми перемычками (вчасти восточной стороныризалита-1). Материалзаполнения оконныхпроемов - металл, схемырасстекловок;- оконные проемы второгоэтажа прямоугольной формыс полуциркульными,клинчатыми перемычками (вчасти западной стороныризалита-2). Материалзаполнения оконныхпроемов - дерево, схемырасстекловок;- оконные проемы второгоэтажа, прямоугольнойформы с полуциркульнымиступенчатыми перемычками(в части северного фасадаризалита-3). Материалзаполнения оконныхпроемов - металл, схемырасстекловок;Ризалит-1Ризалит-2Ризалит-3291 2 3- люнеты полуциркульнойформы, с клинчатымиперемычками (8 штук, вчасти северного фасадаризалита-3). Материалзаполнения оконныхпроемов - металл, схемырасстекловок;- оконные проемы второгоэтажа, прямоугольнойформы с полуциркульными,клинчатыми перемычками (вчасти западной стороныризалита-1 и восточнойстороны ризалита-2).Материал заполненияоконных проемов - дерево,схемы расстекловок;- оконные проемы второгоэтажа, прямоугольнойформы (в части южнойстороны ризалита-1 иризалита-2). Материалзаполнения оконныхпроемов - металл, схемырасстекловок.301 2 36.3Архитектурные элементы идетали входов:- вход № 1 (в частивосточного дворового фасадакорпуса № 2, с левойстороны, 1 штука) –высокий, прямоугольнойформы с полуциркульной,клинчатой перемычкой, состекленной фрамугой;- материал заполнениядверного проема - дерево,схема расстекловки ирисунок филенок;- вход № 2 (в частисеверного дворового фасадас левой стороны от ризалита№ 3, 1 штука) – высокий,прямоугольной формы сполуциркульной, клинчатойперемычкой, с остекленнойфрамугой;- материал заполнениядверного проема - дерево,схема расстекловки;Вход № 1Вход № 2311 2 3- вход № 3 (в части южного,дворового фасадаризалита-2) - невысокий,прямоугольной формы;- материал заполнениядверного проема - дерево,исторический характеррисунка филенок.Вход № 37Восточный фасад:- композиционноерешение (см. п. 7.1);- местоположение, формаи детали архитектурныхэлементов (см. п. 7.2 –7.3).7.1Восточный фасад:- симметричноекомпозиционное решениефасада. По вертикалифасад членитсяризалитами с левой,правой сторон и поцентру, по горизонталифасад членится карнизамии поясками.321 2 37.2Архитектурные элементыи детали:- ризалит-1 в части фризаоформленпрямоугольными нишамии пилястрами с левой иправой сторон, по центруустроен французскийбалкон, по горизонталиризалит-1 членитсякарнизами;Венчающий профилированный карнизФриз с нишами и пилястрами331 2 3- ризалит-2 в части фризаоформленпрямоугольными нишамии пилястрами с левой иправой сторон, по центруустроен французскийбалкон, по горизонталиризалит-2 членитсякарнизами;Французский балкон, лежащий на мощныхкронштейнах, с кованной оградой, с сложнымгеометрическим рисунком, с продольными,поперечными и перекрещивавшимися прутьямиПрофилированный карнизВенчающий профилированный карниз341 2 3Фриз с нишами и пилястрамиПрофилированный карнизФранцузский балкон, лежащий на мощныхкронштейнах, с кованной оградой, с сложнымгеометрическим рисунком, с продольными,поперечными и перекрещивавшимися прутьями351 2 3- ризалит-3 по горизонталичленится карнизами, свосточной, северной июжной сторон устроеныкаменные желобаводостока;- желоба водостока(каменные, с северной июжной сторон);- венчающий карниз(профилированный,ступенчатый в частиглавного фасада корпуса№ 3 и № 4);- карниз(профилированный,ступенчатый в частиВенчающий профилированный карнизПрофилированный карнизВенчающий профилированный карниз361 2 3главного фасада корпусов№ 3 и № 4);- французский балкон,лежащий на мощныхкронштейнах, с кованнойоградой, со сложнымгеометрическим рисунком,с продольными,поперечными иперекрещивавшимисяпрутьями (в частивосточной стороныкорпусов № 3 и № 4);- линейный, колотый руст(в левой части корпуса№ 3, на уровне первогоэтажа);Профилированный карниз371 2 3- венчающий карниз(профилированный,ступенчатый в частидворового фасадакорпусов № 3 и № 4);- карниз(профилированный, вчасти корпусов № 3 и №4);Венчающий профилированный карниз381 2 3- аркбутаны (10 штук, вчасти восточной стороныкорпусов № 3 и № 4);7.3Архитектурные элементыи детали окон:- оконные проемы первогоэтажа со стрельчатымиступенчатымиперемычками иподоконниками (в частиглавного и дворовогофасадов корпусов № 3 и№ 4). Материалзаполнения оконныхпроемов - металл, схемырасстекловок;- оконные проемы второгоэтажа прямоугольнойформы сполуциркульными,клинчатыми перемычкамии подоконниками (в частидворового фасадакорпусов № 3 и № 4).Материал заполненияоконных проемов - дерево,схемы расстекловок;- оконные проемы второгоэтажа прямоугольнойформы (в части дворовогофасада корпусов № 3 и №4). Материал заполненияоконных проемов - металл,схемы расстекловок;391 2 3- оконные проемы второгоэтажа с клинчатымиперемычками (в частиглавного фасада корпусов№ 3 и № 4). Материалзаполнения оконныхпроемов - металл, схемырасстекловок;- оконные проемы второгоэтажа (в части корпусов №3 и № 4), прямоугольнойформы, декорированныеоконной решеткой сдугообразныморнаментом;- оконные проемы второгоэтажа с полуциркульными,клинчатыми перемычками,(в части главного идворового фасадакорпусов № 3 и № 4).Материал заполненияоконных проемов - дерево,схемы расстекловок;- оконные проемы второгосвета (в части корпусов №3 и № 4) сполуциркульными,клинчатыми перемычкамифланкированныеархивольтом. Материалзаполнения оконныхпроемов - дерево, схемырасстекловок.",osm;mkrf-egrkn;wikivoyage-ессентуки
